Symbol,Company_Name,Asset_Name,Highest_Phase,Market_Status,Active_Trial_Count,Next_Catalyst_Date,Mechanism_of_Action,Therapeutic_Area,Detailed_Conditions,Trial_NCTIds
NVO,Novo Nordisk A/S,Semaglutide,PHASE4,Marketed,22,2026-04-21,GLP-1 receptor agonist,"Metabolic/Endocrinology, Others",Obesity; Childhood; Non-alcoholic Steatohepatitis; Diabetes Mellitus; Type 2; Type 2 Diabetes; Type 1; Cardiovascular Disease; Overweight; Early Alzheimer´s Disease; Chronic Kidney Disease,"NCT06977438, NCT04822181, NCT06534411, NCT07010432, NCT07415954, NCT05714683, NCT06221969, NCT07087795, NCT05689372, NCT05726227, NCT06388187, NCT05567796, NCT05669755, NCT07253285, NCT04777409, NCT06717698, NCT03811561, NCT06571383, NCT07225816, NCT06780449, NCT07400107, NCT05441267"
CSWYY,China Shineway Pharmaceutical Group Limited,Venetoclax,PHASE4,Marketed,16,2026-05-10,Bcl-2 inhibitor,"Hematology, Infectious Diseases","Precursor Cell Lymphoblastic Leukemia-Lymphoma; Adult ALL; MPAL; AML; IDH1 Mutation; Treatment; Relapsed/Refractory AML; Acute Myeloid Leukemia; Philadelphia Chromosome Negative ALL; Acute Lymphoblastic Leukemia; Adult; AML (Acute Myelogenous Leukemia); Childhood Leukemia; Acute Lymphoblastic; T Cell Acute Lymphoblastic Leukemia/Lymphoblastic Lymphoma; Refractory; Relapsed; Philadelphia Positive Acute Lymphoblastic Leukemia; Ph-Like; CML,Blast Phase","NCT06387121, NCT06991920, NCT06611839, NCT06763666, NCT06386302, NCT06481241, NCT06783790, NCT05660473, NCT06744556, NCT06855810, NCT06265545, NCT06481228, NCT07454226, NCT06757855, NCT07132684, NCT07131059"
CSWYY,China Shineway Pharmaceutical Group Limited,Cytarabine,PHASE4,Marketed,13,2026-03-30,DNA synthesis inhibitor,"Hematology, Infectious Diseases",Precursor Cell Lymphoblastic Leukemia-Lymphoma; Mantle Cell Lymphoma; FLT3 Gene Mutation; AML; Relapsed/Refractory AML; Mature B-cell Non-Hodgkin Lymphoma; Lymphoblastic Lymphoma; T-cell Lymphoblastic Lymphoma; Adult; Leukemia; Monocytic; Acute; Pediatric AML,"NCT06387121, NCT06504199, NCT06561880, NCT06763666, NCT07168980, NCT02845882, NCT05660473, NCT03031262, NCT02405676, NCT05681260, NCT07132684, NCT05313958, NCT07131059"
CSWYY,China Shineway Pharmaceutical Group Limited,Prednisone,PHASE4,Marketed,13,2026-06-01,Glucocorticoid receptor agonist,"Hematology, Immunology",Precursor Cell Lymphoblastic Leukemia-Lymphoma; Diffuse Large B Cell Lymphoma; Langerhans Cell Histiocytosis (LCH); Mature B-cell Non-Hodgkin Lymphoma; Peripheral T-Cell Lymphoma; Lenalidomide; CHOP; Langerhans Cell Histiocytosis of Bone; Lymphoblastic Lymphoma; In-stent Restenosis; T-cell Lymphoblastic Lymphoma; DLBCL - Diffuse Large B Cell Lymphoma; Classical Hodgkin Lymphoma; Child; Adolescent; Young Adult; Metabolic Response; Survival; Treatment; Brentuximab Vedotin; PET Scan,"NCT06387121, NCT05351346, NCT07431060, NCT07168980, NCT04922567, NCT06078969, NCT02845882, NCT05660473, NCT02405676, NCT06090890, NCT05681260, NCT07034508, NCT06563245"
CSWYY,China Shineway Pharmaceutical Group Limited,Tislelizumab,PHASE4,Marketed,13,2026-05-31,PD-1 inhibitor,"Immunology, Others",Advanced or Recurrent Solid Tumors; Colonic Neoplasms; Neoadjuvant Therapy; Immune Checkpoint Inhibitors; HNSCC; Lysogenic HSV Virus; Immunotherapy; Targeted Therapy; Esophageal Squamous Cell Carcinoma (ESCC); Locally Advanced Unresectable Esophageal Cancer; Small Cell Lung Cancer; Gastric Cancer; Gastroesophageal Junction Cancer; Hepatocellular Carcinoma (HCC); Head and Neck Squamous Cell Carcinoma; Low-dose Radiotherapy; RECTAL NEOPLASMS; Rectal Cancer; NSCLC; Locally Advanced Rectal Carcinoma; Classical Hodgkin Lymphoma; Child; Adolescent; Young Adult; Metabolic Response; Survival; Treatment; Brentuximab Vedotin; PET Scan,"NCT06541639, NCT07132008, NCT07010120, NCT07039162, NCT06951841, NCT06741982, NCT06760858, NCT07077369, NCT07040956, NCT06390982, NCT06414915, NCT06312982, NCT06563245"
ARGX,argenx SE,Efgartigimod,PHASE4,Marketed,9,2026-07-31,FcRn antagonist,"Immunology, Neurology/CNS",Myasthenia Gravis; MG; gMG; Generalized Myasthenia Gravis; Generalized Myasthenia Gravis (gMG); AChR-Ab Seropositive Generalized Myasthenia Gravis; Primary Immune Thrombocytopenia (ITP); Generalized; Epidermolysis Bullosa (EB); Epidermolysis Bullosa Acquisita; Recessive Dystrophic Epidermolysis Bullosa; Dystrophic Epidermolysis Bullosa; CIDP - Chronic Inflammatory Demyelinating Polyneuropathy; Immune Thrombocytopenia (ITP); ITP - Immune Thrombocytopenia; ITP; Immune Thrombocytopenic Purpura; Immune Thrombocytopenic Purpura ( ITP ); Idiopathic Thrombocytopenic Purpura; Idiopathic Thrombocytopenic Purpura (ITP); Myasthenia Gravis Crisis; Myasthenia Gravis Exacerbations; AChR Myasthenia Gravis,"NCT07294170, NCT06544499, NCT06298552, NCT07011589, NCT06299748, NCT07194850, NCT06860633, NCT07284420, NCT04833894"
TGTX,"TG Therapeutics, Inc.",Ublituximab,PHASE4,Marketed,9,2026-12-31,CD20 antibody,"Immunology, Hematology",Relapsing Multiple Sclerosis (RMS); Relapsing Multiple Sclerosis; Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma; Relapsed Chronic Lymphocytic Leukemia; Refractory Chronic Lymphocytic Leukemia; Multiple Sclerosis; Autoimmune Disorders; Multiple Sclerosis (MS) - Relapsing-remitting,"NCT04130997, NCT07220252, NCT04624633, NCT07389590, NCT07103746, NCT05877963, NCT07211633, NCT06864936, NCT07225361"
UCBJY,UCB SA,Bimekizumab,PHASE4,Marketed,9,2026-03-13,"IL-17A, IL-17F inhibitor","Immunology, Dermatology",Axial Spondyloarthritis; Ankylosing Spondylitis; r-axSpa; Nr-axSpa; Palmoplantar Pustulosis; Psoriatic Arthritis; Hidradenitis Suppurativa; Plaque Psoriasis; Enthesitis-related Arthritis; Juvenile Psoriatic Arthritis; Moderate to Severe Plaque Psoriasis,"NCT04436640, NCT07219420, NCT06624228, NCT04009499, NCT06921850, NCT06336343, NCT04901195, NCT06668181, NCT06888193"
CSWYY,China Shineway Pharmaceutical Group Limited,Dexamethasone,PHASE4,Marketed,7,2026-06-30,Glucocorticoid receptor agonist,"Hematology, Immunology",Precursor Cell Lymphoblastic Leukemia-Lymphoma; Multiple Myeloma; Relapsed/Refractory Large B-Cell Lymphoma; Extramedullary Multiple Myeloma; Lymphoblastic Lymphoma; T-cell Lymphoblastic Lymphoma,"NCT06387121, NCT07334535, NCT06489808, NCT06793475, NCT02845882, NCT05660473, NCT05681260"
ARDX,"Ardelyx, Inc.",Tenapanor,PHASE4,Investigational,6,2026-06-01,Na+/H+ exchanger inhibitor,"Gastroenterology, Others",Cystic Fibrosis; Constipation; Irritable Bowel Syndrome With Constipation (IBS-C); Chronic Idiopathic Constipation (CIC); IBS; IBS - Irritable Bowel Syndrome; Synucleinopathy; Parkinson's Disease,"NCT06810167, NCT05643534, NCT07382167, NCT05995899, NCT06460038, NCT06553547"
