Symbol,Price,Name,Country,52W Low,52W High,Wall Street Ratings,Market Cap,EV,Shares Outstanding,Institutional Shares,Insider %,Total Debt,Total Cash,Industry,Business Summary
BIOA,22.14,"BioAge Labs, Inc.",United States,2.88,24,4,900183300,611460300,41752470,23162735,0.02584989458827731,7133000,285778000,Drug Manufacturers - Specialty & Generic,"BioAge Labs, Inc. is a biopharmaceutical company that develops therapeutic product candidates for metabolic diseases. The company's technology platform and differentiated human datasets that allows users to identify targets based on insights into molecular changes that drive aging. It also provides azelaprag, an orally available small molecule that is in phase 1 clinical trial for the treatment of obesity; and initiated phase 2 clinical trial of azelaprag in combination with tirzepatide for the treatment of obesity in older adults. It develops BGE-102, an orally available small molecule brain-penetrant NLRP3 antagonist for the treatment of diseases driven by neuroinflammation. The company was incorporated in 2015 and is based in Richmond, California."
ARMP,10.63,"Armata Pharmaceuticals, Inc.",United States,0.8981,16.34,5,431785900,594711900,36406904,1249580,0.007648411750463271,177682000,14756000,Biotechnology,"Armata Pharmaceuticals, Inc. operates as a clinical-stage biotechnology company that focuses on the development of targeted bacteriophage therapeutics for antibiotic-resistant infections worldwide. It develops its products using its proprietary bacteriophage-based technology. The company's product candidates include AP-SA02 for the treatment of Staphylococcus aureus bacteremia; AP-PA02 for Pseudomonas aeruginosa; and AP-PA03 for the treatment of pneumonia. It has research collaboration agreement with Merck Sharp & Dohme Corp. for developing synthetic bacteriophage candidates to target undisclosed infectious disease agents. The company is based in Los Angeles, California. Armata Pharmaceuticals, Inc. operates as a subsidiary of Innoviva, Inc."
IPSC,2.18,"Century Therapeutics, Inc.",United States,0.3418,2.71,4.25,382649900,294857900,179647820,45057822,0.012361457482461419,44957000,132749000,Biotechnology,"Century Therapeutics, Inc., a clinical-stage biotechnology company, engages in the development of allogeneic cell therapies for the treatment of solid tumor, hematological malignancies, and autoimmune diseases. Its lead product candidate is CNTY-101, an allogeneic, induced pluripotent stem cells (iPSCs)-derived chimeric antigen receptors (CAR)-iNK cell therapy, under Phase 1 trials targeting CD19 for relapsed and refractory B-cell lymphoma. The company is also involved in the development of CNTY-308, a CD19-targeted CAR-iT cell therapy engineered with Allo-Evasion 5.0 demonstrating preclinical efficacy comparable to autologous CD19 CAR-T cells for the treatment of B-cell mediated autoimmune diseases and malignancies; and CNTY-341, A CD19/CD22 dual-targeted CAR-iT cell therapy engineered with Allo-Evasion 5.0 which pairs dual targeting and primary T-cell-like functionality in an allogeneic cell with the goal of providing a differentiated therapy for B cell malignancies that are in preclinical trial. In addition, it develops solid tumor CAR iT program exploiting Nectin-4 CAR and other validated targets, engineered with Allo-Evasion 5.0 and additional engineering aimed at overcoming the key barriers to success in solid tumors, as well as non-immune effector. The company was incorporated in 2018 and is headquartered in Philadelphia, Pennsylvania."
NKTR,70.37,Nektar Therapeutics,United States,6.48,75.6699,4.87,1914358800,1811229700,27979520,16035493,0.00639381947939064,167079000,270208000,Biotechnology,"Nektar Therapeutics, a biopharmaceutical company, focuses on discovering and developing therapies that selectively modulate the immune system to treat autoimmune disorders in the United States and internationally. It develops NKTR-358, a regulatory T (Treg) cell stimulator designed to address the imbalance in the immune system underlying autoimmune disorders and chronic inflammatory conditions; PEG-CSF1, a polyethylene glycol (PEG) modified hematopoietic colony stimulating factor protein that is engineered to selectively modulate resolution processes of inflammation and has applications in a number of therapeutic indications, including acute and chronic inflammation; Tumor necrosis factor (TNF) receptor type II (TNFR2) agonist asset is a bivalent antibody molecule used to selectively stimulate TNFR2 receptor activity, without modulation of the TNFR1 signaling; and NKTR-255, an IL-15 receptor agonist designed to boost the immune system's natural ability to fight cancer. It has collaboration agreements with Takeda Pharmaceutical Company Ltd.; AstraZeneca AB; UCB Pharma; F. Hoffmann-La Roche Ltd; Bausch Health Companies Inc.; Pfizer Inc.; UCB Pharma (Biogen); Bristol-Myers Squibb Company; Merck KGaA; and SFJ Pharmaceuticals, Inc. The company was incorporated in 1990 and is headquartered in San Francisco, California."
CAPR,28.35,"Capricor Therapeutics, Inc.",United States,4.3,40.37,4.8,1443462700,1359439500,51718476,27207591,0.01141006187827464,14542789,98565971,Biotechnology,"Capricor Therapeutics, Inc., a clinical-stage biotechnology company, engages in the development of transformative cell and exosome-based therapeutics for treating duchenne muscular dystrophy (DMD) and other diseases with unmet medical needs in the United States. Its lead product candidate is the Deramiocel, an allogeneic cardiosphere-derived cells, which is in phase 3 clinical trial for the treatment of DMD. The company also develops Exosome protein-based vaccine, which is in preclinical trial to treat SARS-CoV-2; StealthX Exosome Platform, and exosome platform program consists of engineered exosomes for vaccine and therapeutic development and is in preclinical trial. In addition, it engages in developing StealthX, an engineered exosome-based vaccine candidate, under phase 1 clinical study for a range of therapeutic applications, including targeted RNA, protein, and small molecule therapeutics to treat or prevent a variety of diseases; and CAP-2003, and allogeneic cardiosphere-derived cells-exosomes, which is in preclinical trial to treat DMD. It has license agreement with Johns Hopkins University, University of Rome License, and Cedars-Sinai Medical Center to develop and commercialize licensed products and licensed services under the licensed patent rights in all fields and a nonexclusive right to the know-how; Cell Line License Agreement with Life Technologies for the development of exosomes platform. The company was founded in 2005 and is headquartered in San Diego, California."
INBX,80.27,"Inhibrx Biosciences, Inc.",United States,10.805,94.565,3,1156227200,1110044200,14543738,8823970,0.1762071904537548,106905000,153088000,Biotechnology,"Inhibrx Biosciences, Inc., a clinical-stage biopharmaceutical company, engages in the development of biologic therapeutics for people with life-threatening conditions. Its therapeutic candidates include INBRX-109, a tetravalent therapeutic candidate targeting death-receptor 5 to treat unresectable or metastatic conventional chondrosarcoma; and INBRX-106, a hexavalent sdAb-based therapeutic candidate targeting OX4 for the treatment of metastatic solid tumor, non-small cell lung cancer, melanoma, head and neck squamous cell carcinoma, gastric or gastroesophageal junction adenocarcinoma, renal cell carcinoma, and urothelial cell carcinoma. Inhibrx Biosciences, Inc. was incorporated in 2024 and is based in La Jolla, California."
CTMX,5.78,"CytomX Therapeutics, Inc.",United States,0.4,6.35,4.33,921728600,783698560,169435400,109968121,0.005203835951750223,5596000,143626000,Biotechnology,"CytomX Therapeutics, Inc. operates as an oncology-focused biopharmaceutical company that focuses on developing novel conditionally activated biologics localized to the tumor microenvironment. The company utilizes conditional activation platform technology for oncology biologics research and development comprising the validation of targets for antibody-drug conjugates (ADCs), opening therapeutic window for novel T-cell engagers (TCEs) targeting solid tumors, and increasing the therapeutic index for immune modulators, such as cytokines; and PROBODY platform in preclinical research in areas outside of oncology. It also develops CX-904, a T-cell-engaging bispecific antibody targeting the epidermal growth factor receptor (EGFR) on tumor cells and the CD3 receptor on T cells; CX-2051, a conditionally activated ADC for optimizing the therapeutic index for EpCAM-expressing epithelial cancers, including colorectal cancer; and CX-801, an interferon alpha-2b PROBODY cytokine. In addition, the company's development pipeline comprises CX-2029, a conditional activated ADC targeting CD71; and BMS-986288, a PROBODY version of non-fucosylated ipilimumab. It has strategic collaborations with Amgen, Astellas, Bristol Myers Squibb, Regeneron, and Moderna; and clinical trial collaboration and supply agreement with Merck for the evaluation of CX-801 in combination with anti-PD-1 therapy, KEYTRUDA (pembrolizumab). The company was founded in 2008 and is based in South San Francisco, California."
DBVT,22.23,DBV Technologies S.A.,France,3.82,26.185,4.16,1330121900,1267741700,295269660,141277243,0.0005178637573137512,7691000,69837000,Biotechnology,"DBV Technologies S.A., a clinical-stage biopharmaceutical company, engages in the research and development of epicutaneous immunotherapy products in France. The company's product pipeline comprising Viaskin Peanut, an immunotherapy product, which has completed Phase 3 clinical trial for the treatment of peanut allergies; and Viaskin Milk which is in Phase 1/2 clinical trial for the treatment of immunoglobulin E (IgE) mediated or cow's milk protein allergy and eosinophilic esophagitis. Its earlier stage research programs include vaccine for the respiratory syncytial virus, potential treatments for inflammatory bowel disease, celiac disease, and type I diabetes. In addition, the company develops Viaskin technology platform, a platform to potentially treat food allergy. It has a collaboration with Nestlé Health Science to develop MAG1C, a ready-to-use atopy patch test for the diagnosis of non-IgE mediated CMPA in infants and toddlers. DBV Technologies S.A. was incorporated in 2002 and is headquartered in Châtillon, France."
GRFS,9.25,"Grifols, S.A.",Spain,6.19,11.14,4,7798265000,21025750000,680509100,338660965,0.021363465844242403,11373472000,969103075.8393989,Drug Manufacturers - General,"Grifols, S.A. operates as a plasma therapeutic company in Spain, the United States, Canada, and internationally. The company provides immunoglobulin to treat immunodeficiencies; albumin used to restore circulatory volume and protein loss in pathophysiological conditions, such as liver cirrhosis, cardiocirculatory failure, trauma, and severe burns; alpha-1 proteinase inhibitor, a plasma protein, used to treat a genetic disease known as alpha-1; factor VIII/von Willebrand factor and factor IX, clotting factors for the treatment of hemophilia A and von Willebrand's disease, as well as hemophilia B; antithrombin III to treat hereditary antithrombin deficiency; Fostamatinib, a spleen tyrosine kinase inhibitor; combination of fibrinogen and enzyme thrombin that acts as a biological sealant to control surgical bleeding; and plasma exchange with albumin used to treat Alzheimer's disease. It also markets diagnostic testing equipment, reagents, and other equipment; offers biological products and manufacturing services; and manufactures and sells plasma to third parties. In addition, the company offers Yimmugo IDP, an immunology drug; Yimmugo PTI, a hematology drug; and Prolastin vials, a pulmonology drug. Further, it develops Xembify Pre-filled syringes, Gamunex Bags, and FlexBag; Xembify Biweekly dosing, Fibrinogen, and VISTASEAL; Prolastin-C AADT and Fostamatinib; Xembify  CLL, Albumina 20% and 5%, and Trimodulin; Alfa-1 AT 15%, GRF6019, GRF6021, Aßvac402, AKST4290, and AKST4290; GIGA 2339 and GIGA564; and recIG, Alfa-1 AT - in non-cystic fibrosis bronchiectasis, and OSIG that are in pre-clinical stage. It has collaboration agreements with Canadian Blood Services to supply grains of Immunoglobulin. The company was founded in 1909 and is headquartered in Barcelona, Spain."
ANAB,55.11,"AnaptysBio, Inc.",United States,13.99,57.74,4.61,1534218100,1631712100,27688470,18996108,0.027726702289865002,346450000,248956000,Biotechnology,"AnaptysBio, Inc., a clinical-stage biotechnology company, focuses in delivering immunology therapeutics. Its products include Rosnilimab, an IgG1 antibody that targets PD-1+ T cells, resulting in their agonism or depletion, broadly impacting pathogenic drivers of autoimmune and inflammatory diseases; and ANB032, a non-depleting antibody that binds to the BTLA checkpoint receptor and inhibits activated T cell proliferation; ANB033, a novel anti-CD122 antagonist antibody that targets the shared common beta subunit of the receptors for IL-15 and IL-2; ANB101, a BDCA2 modulator antibody that specifically targets plasmacytoid dendritic cells (pDCs); and Imsidolimab, an antibody that inhibits the interleukin-36 receptor, which is in the Phase 3 development for the treatment of generalized pustular psoriasis. The company focuses on developing various antibody programs that are advanced to preclinical and clinical milestones under its collaborations. It has a collaboration and license agreement with GlaxoSmithKline, Inc. The company was formerly known as Anaptys Biosciences, Inc. and changed its name to AnaptysBio, Inc. in July 2006. AnaptysBio, Inc. was incorporated in 2005 and is based in San Diego, California."
