Symbol,Name,Market Cap,Industry
ELAN,Elanco Animal Health Incorporated,13107258000,Drug Manufacturers - Specialty & Generic
RGC,Regencell Bioscience Holdings Limited,12792429000,Drug Manufacturers - Specialty & Generic
KRKA.F,"Krka, d. d.",8682602000,Conglomerates
DESNF,Dottikon ES Holding AG,6259199500,
DUTBF,"Duality Biotherapeutics, Inc.",3912664300,
ADMA,"ADMA Biologics, Inc.",3693725200,Biotechnology
VRBCF,Virbac SA,3640816000,Drug Manufacturers - General
HYPMY,Hypera S.A.,2958873000,Drug Manufacturers - Specialty & Generic
GENSY,Genus plc,2849504500,Biotechnology
HTSUF,"Hisamitsu Pharmaceutical Co., Inc.",2710159600,Drug Manufacturers - Specialty & Generic
DMPHF,Dermapharm Holding SE,2495117000,Drug Manufacturers - Specialty & Generic
PAHC,Phibro Animal Health Corporation,2085916500,Drug Manufacturers - Specialty & Generic
TSMRF,Tsumura & Co.,1970215300,Drug Manufacturers - Specialty & Generic
AUPH,Aurinia Pharmaceuticals Inc.,1923553800,Biotechnology
CURLF,"Curaleaf Holdings, Inc.",1909968100,Drug Manufacturers - Specialty & Generic
SMNR,"Semnur Pharmaceuticals, Inc.",1841673100,Biotechnology
ATAI,AtaiBeckley Inc.,1587142500,Biotechnology
VETOF,Vetoquinol SA,1190542000,Drug Manufacturers - Specialty & Generic
XERS,"Xeris Biopharma Holdings, Inc.",1108374300,Biotechnology
TCNNF,Trulieve Cannabis Corp.,1081126300,Drug Manufacturers - Specialty & Generic
CRON,Cronos Group Inc.,1045026560,Drug Manufacturers - Specialty & Generic
VTYX,"Ventyx Biosciences, Inc.",1001780500,Biotechnology
GNMLF,"Genomma Lab Internacional, S.A.B. de C.V.",997299300,Drug Manufacturers - Specialty & Generic
MDCLF,MedinCell S.A.,940338750,Biotechnology
TLRY,"Tilray Brands, Inc.",922734800,Drug Manufacturers - Specialty & Generic
BIOA,"BioAge Labs, Inc.",900183300,Drug Manufacturers - Specialty & Generic
GYRE,"Gyre Therapeutics, Inc.",763479200,Biotechnology
DHTRF,DRI Healthcare Trust,672791300,Drug Manufacturers - Specialty & Generic
OPTEY,Opthea Limited,579528960,Biotechnology
BOIRF,Boiron SA,552092100,Drug Manufacturers - Specialty & Generic
VREOF,Vireo Growth Inc.,545242200,Drug Manufacturers - Specialty & Generic
AQST,"Aquestive Therapeutics, Inc.",498992740,Drug Manufacturers - Specialty & Generic
ETON,"Eton Pharmaceuticals, Inc.",490224540,Drug Manufacturers - Specialty & Generic
PURR,Hyperliquid Strategies Inc.,489671650,Capital Markets
KROS,"Keros Therapeutics, Inc.",472833380,Biotechnology
CRLBF,Cresco Labs Inc.,462598140,Drug Manufacturers - Specialty & Generic
ASKPF,"ASKA Pharmaceutical Holdings Co.,Ltd.",448482600,
ARMP,"Armata Pharmaceuticals, Inc.",431785900,Biotechnology
ENTA,"Enanta Pharmaceuticals, Inc.",428035330,Biotechnology
VRNO,Verano Holdings Corp.,424129280,Drug Manufacturers - Specialty & Generic
SWDCF,Swedencare AB (publ),412307100,Packaged Foods
LENZ,"LENZ Therapeutics, Inc.",401137400,Biotechnology
SNDL,SNDL Inc.,399125000,Beverages - Wineries & Distilleries
DUPBF,Duopharma Biotech Berhad,368039800,
XOMAP,XOMA Royalty Corporation 8.625% CUM PERP PFD SER A,334839100,Biotechnology
XOMA,XOMA Royalty Corporation,334839100,Biotechnology
XOMAO,XOMA Royalty Corporation 8.375% DP PFD B,334839100,Biotechnology
LRMR,"Larimar Therapeutics, Inc.",315828540,Biotechnology
RAONF,Racura Oncology Ltd,300148480,
OPGN,"OpGen, Inc.",297149980,Capital Markets
CBUS,"Cibus, Inc.",249282960,Biotechnology
WDBG,Woodbrook Group Holdings Inc.,248553000,Capital Markets
TSNDF,TerrAscend Corp.,246225090,Drug Manufacturers - Specialty & Generic
EAPIF,Euroapi S.A.,239519680,Drug Manufacturers - Specialty & Generic
SRZN,"Surrozen, Inc.",231428370,Biotechnology
KLRS,"Kalaris Therapeutics, Inc.",205165520,Biotechnology
OVID,Ovid Therapeutics Inc.,196578370,Biotechnology
OGI,Organigram Global Inc.,192310400,Drug Manufacturers - Specialty & Generic
HTTIF,"HighTide Therapeutics, Inc.",186948530,Biotechnology
BBIXF,Bonus BioGroup Ltd.,177772700,Biotechnology
CNBRF,CANbridge Pharmaceuticals Inc.,172511140,
ADOCY,Adocia SA,158297340,Biotechnology
AMGXF,"AnGes, Inc.",154728080,Biotechnology
CAVG,ACC Aviation Holdings Ltd.,149683220,Shell Companies
UNCY,"Unicycive Therapeutics, Inc.",148075710,Biotechnology
MAYNF,Mayne Pharma Group Limited,145706700,Medical Distribution
BIOYF,BioSyent Inc.,129867060,Drug Manufacturers - Specialty & Generic
SPRO,"Spero Therapeutics, Inc.",125636620,Biotechnology
CBWTF,Auxly Cannabis Group Inc.,124700690,Drug Manufacturers - Specialty & Generic
SRIMF,StemRIM,117011330,
RECEF,Recce Pharmaceuticals Ltd,116383920,Biotechnology
FBSBF,4basebio PLC,114899610,
JUSHF,Jushi Holdings Inc.,106438290,Drug Manufacturers - Specialty & Generic
HLTRF,HLS Therapeutics Inc.,102699784,Drug Manufacturers - Specialty & Generic
GRUSF,Grown Rogue International Inc.,93021250,Drug Manufacturers - Specialty & Generic
HSTC,"HST Global, Inc.",88193900,Biotechnology
BXPHF,Botanix Pharmaceuticals Limited,87702780,Biotechnology
OKYO,OKYO Pharma Limited,85788220,Biotechnology
UNBSF,Uni-Bio Science Group Limited,83956580,Biotechnology
TXTM,"ProText Mobility, Inc.",78637480,Biotechnology
MCRB,"Seres Therapeutics, Inc.",78252390,Biotechnology
PLRX,"Pliant Therapeutics, Inc.",78040720,Biotechnology
EXOZ,"eXoZymes, Inc.",75602320,Biotechnology
PTHS,Pelthos Therapeutics Inc.,75194020,Biotechnology
MVRBF,Medivir AB (publ),73907960,
ENTX,Entera Bio Ltd.,72454440,Biotechnology
HRPMF,Herantis Pharma Oyj,66884852,
CINGW,Cingulate Inc. WT EXP 121026,66053070,
CING,Cingulate Inc.,66053070,Biotechnology
ETHZ,ETHZilla Corporation,65592196,Software - Application
SPRB,"Spruce Biosciences, Inc.",62316940,Biotechnology
NSRX,Nasus Pharma Ltd.,61831610,Drug Manufacturers - General
ATHE,Alterity Therapeutics Limited,61430016,Biotechnology
NRXP,"NRx Pharmaceuticals, Inc.",60079360,Biotechnology
IMMPF,ImmuPharma plc,56252532,
ONPPF,Oncopeptides AB (publ),56215070,
LONA,"LeonaBio, Inc.",55455324,Biotechnology
NTRB,Nutriband Inc.,53851004,Biotechnology
LPCN,Lipocine Inc.,52354708,Biotechnology
MIRA,"MIRA Pharmaceuticals, Inc.",52345108,Drug Manufacturers - General
NICXF,Nicox S.A.,51637060,Biotechnology
VIVRF,Vivoryon Therapeutics N.V.,50641876,
SCLX,Scilex Holding Company,49997812,Drug Manufacturers - General
KZR,"Kezar Life Sciences, Inc.",49650996,Biotechnology
INCR,InterCure Ltd.,47405150,Drug Manufacturers - Specialty & Generic
MTRLF,Matricelf Ltd,47299812,Biotechnology
VEXTF,Vext Science Inc.,45798404,Drug Manufacturers - Specialty & Generic
NRXBF,NUREXONE BIOLOGIC INC,43046812,Biotechnology
TSUBF,Tsubota Laboratory Incorporated,42195136,
FRPRQ,4D Pharma PLC.,40552650,
TYPTF,Entropy Neurodynamics Limited,39884164,Biotechnology
CXXIF,C21 Investments Inc.,38755380,Drug Manufacturers - Specialty & Generic
ZYBT,Zhengye Biotechnology Holding Limited,38164276,Drug Manufacturers - Specialty & Generic
MRMD,MariMed Inc.,34641450,Drug Manufacturers - Specialty & Generic
AEON,"AEON Biopharma, Inc.",31375792,Biotechnology
RLYB,Rallybio Corporation,30785144,Biotechnology
EMYRF,Emyria Limited,30182516,
DYAI,"Dyadic International, Inc.",29601618,Biotechnology
DVHGF,Devonian Health Group Inc.,28236140,Biotechnology
NRSN,NeuroSense Therapeutics Ltd.,27351820,Biotechnology
LEAS,"Anew Medical, Inc.",26377622,
TXMD,"TherapeuticsMD, Inc.",26042314,Drug Manufacturers - Specialty & Generic
