Symbol,Price,Name,Country,52W Low,52W High,Wall Street Ratings,Market Cap,EV,Shares Outstanding,Institutional Shares,Insider %,Total Debt,Total Cash,Industry,Business Summary
INVA,24.24,"Innoviva, Inc.",United States,16.52,24.245,4.2,1751091500,1541219500,74769064,73262212,0.007657878876832478,323230000,533102000,Biotechnology,"Innoviva, Inc. engages in the development and commercialization of pharmaceutical products in the United States and internationally. The company's products include RELVAR/BREO ELLIPTA, a once-daily combination medicine consisting of a LABA, vilanterol (VI), an inhaled corticosteroid (ICS), and fluticasone furoate; ANORO ELLIPTA, a once-daily medicine combining a long-acting muscarinic antagonist (LAMA) and umeclidinium bromide (UMEC) with a LABA, VI; GIAPREZA (angiotensin II), a vasoconstrictor to increase blood pressure in adults with septic or other distributive shock; XERAVA (eravacycline), a tetracycline class antibacterial for the treatment of complicated intra-abdominal infections in adults; XACDURO, a beta lactamase inhibitor for the treatment of hospital-acquired bacterial pneumonia and ventilator-associated bacterial pneumonia; and ZEVTERA, a cephalosporin antibacterial for the treatment of adult patients with staphylococcus aureus bloodstream infections, adult patients with acute bacterial skin and skin structure infections, and adult and pediatric patients with community-acquired bacterial pneumonia. Its development pipeline includes Zoliflodacin, a late-stage product candidate, a potential single oral dose cure for the treatment of uncomplicated gonorrhea. Innoviva, Inc. has a strategic partnership with Sarissa Capital Management LP. It has long-acting beta2 agonist (LABA) collaboration agreement with Glaxo Group Limited to develop and commercialize once-daily products for the treatment of chronic obstructive pulmonary disease and asthma. The company was formerly known as Theravance, Inc. and changed its name to Innoviva, Inc. in January 2016. Innoviva, Inc. was incorporated in 1996 and is headquartered in Burlingame, California."
ATAI,4.34,AtaiBeckley Inc.,Germany,1.15,6.75,4.84,1587142500,1478151600,363190530,62524267,0.02335694211755889,5458000,114606000,Biotechnology,"AtaiBeckley Inc., a clinical-stage biopharmaceutical company, engages in the research, development, and commercialization of mental health treatments in the United States, Germany, and Canada. The company develops BPL-003, an intranasal formulation of the benzoate salt form of mebufotenin that is in Phase 2a and 2b clinical studies for treatment resistant depression (TRD) and alcohol use disorder; RL-007, an orally bioavailable compound, which is a pro-cognitive neuromodulator in Phase 2b trial for cognitive impairment associated with schizophrenia; and ELE-101, a serotonergic psychedelic in Phase 2a trial for the treatment of major depressive disorder. It is also developing VLS-01, an oral transmucosal film formulation of N,N-Dimethyltryptamine in Phase 2 clinical study to treat TRD; EMP-01, an oral formulation of R-3,4-methylenedioxy-methamphetamine that is in Phase 2 clinical study for social anxiety disorder; and EGX-A & EGX-B, which are non-hallucinogenic 5-HT2A receptor agonists in preclinical studies for TRD. In addition, the company offers COMP360 for psilocybin therapy; and GRX-917 for the treatment of anxiety, depression, and various neurological disorders. The company was formerly known as Atai Beckley N.V. and changed its name to AtaiBeckley Inc. in December 2025. AtaiBeckley Inc. was founded in 2018 and is based in New York, New York."
ALMS,29.39,Alumis Inc.,United States,2.7601,30.6,4.9,3500358400,3160431400,124656640,51450693,0.005333257862022095,37797000,377724000,Biotechnology,"Alumis Inc., a clinical stage biopharmaceutical company, focuses on the development and commercialization of medicines for autoimmune disorders. The company's clinical asset comprises ESK-001, an allosteric tyrosine kinase 2 (TYK2) inhibitor for the treatment of plaque psoriasis and systemic lupus erythematosus; and A-005, a central nervous system-penetrant allosteric TYK2 inhibitor for neuroinflammatory and neurodegenerative diseases. It also develops interferon regulatory factor 5 (IRF5) to address immune dysfunction. The company was formerly known as Esker Therapeutics, Inc. and changed its name to Alumis Inc. in January 2022. The company was incorporated in 2021 and is headquartered in South San Francisco, California."
IMMX,8.75,"Immix Biopharma, Inc.",United States,1.34,8.97,5,447384960,432543970,52695520,22936802,0.129031255959354,1106335,15947308,Biotechnology,"Immix Biopharma, Inc., a clinical-stage biopharmaceutical company, engages in the development of chimeric antigen receptor cell therapy in light chain Amyloidosis and immune-mediated diseases in the United States and Australia. The company' lead product is NXC-201 for relapsed/refractory AL Amyloidos. It has a clinical collaboration and supply agreement with BeiGene Ltd. for a combination Phase 1b clinical trial in solid tumors of IMX-110 and anti-PD-1 Tislelizumab. Immix Biopharma, Inc., was incorporated in 2012 and is headquartered in Los Angeles, California."
LXRX,1.5,"Lexicon Pharmaceuticals, Inc.",United States,0.2836,1.83,4,632085200,581085200,427084580,92348930,0.01057365765220919,64950000,115950000,Biotechnology,"Lexicon Pharmaceuticals, Inc., a biopharmaceutical company, focuses on the discovery, development, and commercialization of pharmaceutical products for the treatment of human disease. The company offers Sotagliflozin, an orally-delivered small molecule drug to reduce the risk of cardiovascular death, hospitalization for heart failure, and urgent heart failure visits in adults with heart failure or type 2 diabetes mellitus, chronic kidney disease or CKD, and other cardiovascular risk factors. Its orally-delivered small molecule drug candidates under development include sotagliflozin for the treatment of hypertrophic cardiomyopathy or HCM and type 1 diabetes that is in Phase 3 clinical trial; LX9211, which has completed Phase II clinical trials for the treatment of neuropathic pain; and LX9851 for the treatment of obesity and associated cardiometabolic disorders, as well as for weight management. Lexicon Pharmaceuticals, Inc. has strategic collaboration and license agreements with Viatris Inc. and Bristol-Myers Squibb Company. The company was incorporated in 1995 and is headquartered in The Woodlands, Texas."
LQDA,30,Liquidia Corporation,United States,11.26,46.67,4.37,2920438300,2962124300,86995480,49336935,0.09368697912741056,199182000,157496000,Biotechnology,"Liquidia Corporation, a biopharmaceutical company, develops, manufactures, and commercializes various products for unmet patient needs in the United States. Its lead product candidates include YUTREPIA, an inhaled dry powder formulation of treprostinil for the treatment of pulmonary arterial hypertension (PAH) and pulmonary hypertension associated with interstitial lung disease (PH-ILD). The company also offers Remodulin, a treprostinil administered through continuous intravenous and subcutaneous infusion; and develops L606, an investigational liposomal formulation of treprostinil for the treatment of pulmonary arterial hypertension (PAH) and pulmonary hypertension associated with interstitial lung disease (PH-ILD). The company has a license agreement with Pharmosa Biopharm Inc to develop and commercialize L606, an inhaled sustained-release formulation of Treprostinil for the treatment of PAH and PH-ILD. Liquidia Corporation was founded in 2004 and is based in Morrisville, North Carolina."
PHAR,16.8,Pharming Group N.V.,Netherlands,7.5018,21.34,5,1159530200,1124151400,685147600,147813721,0.02770361245437598,130922000,166168000,Biotechnology,"Pharming Group N.V., a biopharmaceutical company, develops and commercializes protein replacement therapies and precision medicines for the treatment of rare diseases in the United States, Europe, and internationally. The company's lead product is RUCONEST, a recombinant C1 esterase inhibitor for the treatment of acute attacks in adult and adolescent patients with acute hereditary angioedema (HAE); and Joenja (leniolisib), an oral small molecule PI3K? inhibitor for the treatment of activated phosphoinositide 3-kinase delta syndrome. It also develops OTL-105, an investigational ex-vivo autologous hematopoietic stem cell gene therapy for the treatment of HAE. It has a development collaboration and license agreement with Novartis; and a strategic collaboration agreement with Orchard Therapeutics plc for research, development, manufacturing, and commercialization of OTL-105. Pharming Group N.V. was incorporated in 1988 and is headquartered in Leiden, the Netherlands."
AGIO,29.96,"Agios Pharmaceuticals, Inc.",United States,22.24,46,4.4,1780616100,656385100,58592172,53415867,0.01627295149671033,40207000,854425000,Biotechnology,"Agios Pharmaceuticals, Inc., a biopharmaceutical company, discovers and develops medicines in the field of cellular metabolism in the United States. Its lead product includes PYRUKYND (mitapivat), an activator of wild-type and mutant pyruvate kinase (PK), enzymes used for the treatment of hemolytic anemias in adults with PK deficiency. The company's PYRUKYND product is also used for the treatment of sickle cell disease that is in phase 3 clinical trial; for the treatment of PK deficiency in pediatric patients; and AQVESME for the treatment of adult patients with non-transfusion dependent and transfusion-dependent alpha- or beta-thalassemia. In addition, it developed tebapivat, a PK activator for the treatment of lower-risk myelodysplastic syndrome and sickle cell disease; AG-181, a phenylalanine hydroxylase stabilizer for the treatment of phenylketonuria (PKU); and AG-236, an siRNA in-licensed from Alnylam, targeting the transmembrane serine protease 6 (TMPRSS6) gene for the treatment of polycythemia vera. Agios Pharmaceuticals, Inc. was incorporated in 2007 and is headquartered in Cambridge, Massachusetts."
MESO,16.91,Mesoblast Limited,Australia,9.61,21.5,4.33,2096145300,2060181200,1290769800,347285955,0.32658105934393733,128157000,161551000,Biotechnology,"Mesoblast Limited, together with its subsidiaries, engages in the development of regenerative medicine products in Australia, the United States, Singapore, and Switzerland. The company's proprietary regenerative medicine technology platform is based on specialized cells known as mesenchymal lineage cells. It offers Remestemcel-L, which is in Phase III clinical trials for the treatment of systemic inflammatory diseases, including steroid refractory acute graft versus host disease and biologic refractory inflammatory bowel disease, as well as ulcerative colitis and Crohn's disease; and Remestemcel-L, which is in Phase III clinical trials to treat chronic heart failure and chronic low back pain due to degenerative disc disease. The company is also developing MPC-300-IV to treat biologic refractory rheumatoid arthritis diabetic nephropathy. It has strategic partnerships with Tasly Pharmaceutical Group to offer MPC-150-IM for the treatment or prevention of chronic heart failure; MPC-25-IC for the treatment or prevention of acute myocardial infarction; and Ryoncil for the treatment of pediatric SR-aGVHD; JCR Pharmaceuticals Co. Ltd. to treat wound healing in patients with epidermolysis bullosa and for the treatment of neonatal hypoxic ischemic encephalopathy; and Grünenthal to develops and commercializes cell therapy for the treatment of chronic low back pain. The company was incorporated in 2004 and is headquartered in Melbourne, Australia."
KROS,15.22,"Keros Therapeutics, Inc.",United States,9.12,22.55,4.11,472833380,-203209620,30466068,20703867,0.01824485462827515,17429000,693472000,Biotechnology,"Keros Therapeutics, Inc., a clinical-stage biopharmaceutical company, develops and commercializes novel therapeutics for patients with disorders that are linked to dysfunctional signaling of the transforming growth factor-beta family of proteins in the United States. The company's lead product candidate is KER-050, which is being developed for the treatment of low blood cell counts, or cytopenias, including anemia and thrombocytopenia in patients with myelodysplastic syndromes, as well as in patients with myelofibrosis. It also develops KER-012, which is in Phase II clinical trial to treat pulmonary arterial hypertension and cardiovascular disorders; and KER-065 that is in Phase I clinical trial for the treatment neuromuscular diseases. The company has collaboration and license agreement with Hansoh (Shanghai) Healthtech Co., Ltd. to develop, manufacture, and commercialize elritercept and licensed products containing elritercept. Keros Therapeutics, Inc. was incorporated in 2015 and is headquartered in Lexington, Massachusetts."
