Symbol,Company_Name,NCTId,Phases,Status,Conditions,Interventions
ARQT,"Arcutis Biotherapeutics, Inc.",NCT07077902,PHASE2,RECRUITING,Hidradenitis Suppurativa,Topical roflumilast 0.3% foam
ARQT,"Arcutis Biotherapeutics, Inc.",NCT07453602,PHASE1,RECRUITING,"Atopic Dermatitis (AD), Eczema","ARQ-234, Placebo"
ARQT,"Arcutis Biotherapeutics, Inc.",NCT07105254,PHASE2,RECRUITING,Non-segmental Vitiligo,Roflumilast topical 0.3% foam
ARQT,"Arcutis Biotherapeutics, Inc.",NCT07340216,PHASE1,RECRUITING,Psoriasis,ARQ-154 Foam 0.3%
VTVT,vTv Therapeutics Inc.,NCT06334133,PHASE3,RECRUITING,"Diabetes Mellitus, Type 1","Cadisegliatin 800 mg QD, Cadisegliatin 800 mg BID, Placebo"
ESPR,"Esperion Therapeutics, Inc.",NCT05103254,N/A,RECRUITING,"Pregnancy, Hyperlipidemias","Bempedoic Acid, Bempedoic Acid / Ezetimibe"
ESPR,"Esperion Therapeutics, Inc.",NCT06300450,NA,RECRUITING,"Peripheral Artery Disease, Peripheral Vascular Diseases, Dyslipidemias",N/A
MDGL,"Madrigal Pharmaceuticals, Inc.",NCT04951219,PHASE3,ACTIVE_NOT_RECRUITING,Non-Alcoholic Fatty Liver Disease,Resmetirom
MDGL,"Madrigal Pharmaceuticals, Inc.",NCT03900429,PHASE3,ACTIVE_NOT_RECRUITING,NASH - Nonalcoholic Steatohepatitis,"MGL-3196, Placebo"
MDGL,"Madrigal Pharmaceuticals, Inc.",NCT05500222,PHASE3,ACTIVE_NOT_RECRUITING,"NASH, Cirrhosis, Liver","Resmetirom, Placebo"
MDGL,"Madrigal Pharmaceuticals, Inc.",NCT07335601,PHASE2,ACTIVE_NOT_RECRUITING,MASH - Metabolic Dysfunction-Associated Steatohepatitis,"Resmetirom, Placebo"
PTCT,"PTC Therapeutics, Inc.",NCT06302348,PHASE3,RECRUITING,Phenylketonuria,Sepiapterin
PTCT,"PTC Therapeutics, Inc.",NCT03605550,PHASE1,ACTIVE_NOT_RECRUITING,"High Grade Glioma, Diffuse Intrinsic Pontine Glioma",PTC596
PTCT,"PTC Therapeutics, Inc.",NCT05166161,PHASE3,ACTIVE_NOT_RECRUITING,Phenylketonuria,PTC923
PTCT,"PTC Therapeutics, Inc.",NCT04014530,"PHASE1, PHASE2",RECRUITING,"Colorectal Cancer, Endometrium Cancer",Ataluren + Pembrolizumab
PTCT,"PTC Therapeutics, Inc.",NCT04903288,PHASE2,ACTIVE_NOT_RECRUITING,AADC Deficiency,N/A
PTCT,"PTC Therapeutics, Inc.",NCT05515536,PHASE3,ACTIVE_NOT_RECRUITING,Friedreich Ataxia,Vatiquinone
FULC,"Fulcrum Therapeutics, Inc.",NCT07431398,PHASE1,RECRUITING,Sickle Cell Disease,Pociredir
FULC,"Fulcrum Therapeutics, Inc.",NCT07401823,PHASE2,NOT_YET_RECRUITING,Sickle Cell Disease,Pociredir
KALV,"KalVista Pharmaceuticals, Inc.",NCT05511922,PHASE3,ACTIVE_NOT_RECRUITING,Hereditary Angioedema,"KVD900 600 mg, Drug: KVD900 300 mg"
KALV,"KalVista Pharmaceuticals, Inc.",NCT05505916,PHASE3,ACTIVE_NOT_RECRUITING,Hereditary Angioedema,"KVD900 600 mg, KVD900 300 mg"
TGTX,"TG Therapeutics, Inc.",NCT06143514,N/A,RECRUITING,Relapsing Multiple Sclerosis,N/A
TGTX,"TG Therapeutics, Inc.",NCT04130997,PHASE3,ACTIVE_NOT_RECRUITING,Relapsing Multiple Sclerosis (RMS),Ublituximab
